"games_before_purchase","balance_before_purchase","purchase_type"
1,10,"iap"
1,30,"iap"
20,260,"iap"
6,15,"iap"
6,115,"iap"
7,47,"iap"
4,40,"iap"
2,110,"iap"
7,15,"iap"
4,20,"iap"
1,1445,"iap"
2,30,"iap"
7,30,"iap"
50,133,"iap"
5,10,"iap"
1,400,"iap"
102,65,"iap"
58,248,"iap"
8,5,"iap"
32,60,"iap"
5,5,"iap"
5,45,"iap"
3,10,"iap"
2,150,"iap"
2,180,"iap"
12,75,"iap"
4,5,"iap"
30,10,"iap"
6,30,"iap"
3,10,"iap"
6,100,"iap"
2,80,"iap"
12,136,"iap"
2,45,"iap"
6,20,"iap"
5,105,"iap"
14,109,"iap"
5,40,"iap"
10,105,"iap"
1,10,"iap"
2,205,"iap"
16,10,"iap"
21,0,"iap"
3,31,"iap"
45,43,"iap"
27,60,"iap"
16,33,"iap"
3,10,"iap"
7,123,"iap"
2,210,"iap"
4,15,"iap"
5,85,"iap"
9,115,"iap"
2,40,"iap"
4,60,"iap"
13,39,"iap"
3,35,"iap"
12,22,"iap"
3,10,"iap"
12,46,"iap"
22,92,"iap"
10,45,"iap"
2,20,"iap"
3,171,"iap"
17,21,"iap"
8,21,"iap"
1,400,"iap"
0,0,"iap"
14,30,"iap"
31,10,"iap"
4,0,"iap"
6,54,"iap"
6,30,"iap"
9,8,"iap"
8,5,"iap"
8,70,"iap"
0,0,"iap"
4,25,"iap"
1307,31,"iap"
62,0,"iap"
6,100,"iap"
11,98,"iap"
4,130,"iap"
4,40,"iap"
3,100,"iap"
4,140,"iap"
113,1,"iap"
1,300,"iap"
3,3,"iap"
5,10,"iap"
0,0,"iap"
32,51,"iap"
5,15,"iap"
5,0,"iap"
18,18,"iap"
4,0,"iap"
13,0,"iap"
13,41,"iap"
4,81,"iap"
6,55,"iap"
23,24,"iap"
9,80,"iap"
163,125,"iap"
3,0,"iap"
6,5,"iap"
6,10,"iap"
1,430,"iap"
16,77,"iap"
3,45,"iap"
4,290,"iap"
3,10,"iap"
12,70,"iap"
31,53,"iap"
36,81,"iap"
3,100,"iap"
4,0,"iap"
0,500,"iap"
4,0,"iap"
21,28,"iap"
37,165,"iap"
74,79,"iap"
50,45,"iap"
0,100,"iap"
2,180,"iap"
2,380,"iap"
3,70,"iap"
0,500,"iap"
1543,54,"iap"
4,54,"iap"
7,0,"iap"
1,110,"iap"
8,80,"iap"
13,190,"iap"
2,25,"iap"
72,60,"iap"
2,70,"iap"
6,90,"iap"
99,34,"iap"
3,0,"iap"
19,104,"iap"
15,293,"iap"
3,30,"iap"
14,42,"iap"
2,90,"iap"
4,240,"iap"
4,120,"iap"
17,78,"iap"
3,20,"iap"
6,25,"iap"
4,45,"iap"
3,70,"iap"
8,5,"iap"
2,100,"iap"
7,10,"iap"
0,20,"iap"
96,105,"iap"
17,18,"iap"
14,20,"iap"
5,65,"iap"
11,105,"iap"
16,27,"iap"
11,70,"iap"
6,100,"iap"
3,125,"iap"
10,125,"iap"
10,210,"iap"
25,26,"iap"
4,10,"iap"
3,86,"iap"
5,0,"iap"
59,810,"iap"
3,127,"iap"
5,55,"iap"
7,20,"iap"
4,105,"iap"
5,35,"iap"
11,33,"iap"
6,20,"iap"
3,20,"iap"
1,500,"iap"
1,45,"iap"
0,400,"iap"
2,60,"iap"
5,43,"iap"
9,42,"iap"
0,0,"iap"
5,9,"iap"
3,170,"iap"
27,90,"iap"
6,20,"iap"
4,10,"iap"
6,25,"iap"
117,49,"iap"
5,0,"iap"
3,60,"iap"
5,110,"iap"
3,0,"iap"
5,40,"iap"
28,110,"iap"
3,30,"iap"
3,180,"iap"
4,80,"iap"
1,115,"iap"
4,185,"iap"
3,80,"iap"
136,44,"iap"
2,80,"iap"
12,70,"iap"
4,30,"iap"
9,148,"iap"
7,30,"iap"
2,150,"iap"
4,0,"iap"
4,80,"iap"
2,0,"iap"
4,45,"iap"
7,0,"iap"
7,145,"iap"
37,42,"iap"
6,50,"iap"
9,25,"iap"
513,7,"iap"
0,0,"iap"
7,120,"iap"
6,22,"iap"
2,0,"iap"
1,120,"iap"
3,30,"iap"
3,123,"iap"
3,125,"iap"
8,3,"iap"
9,49,"iap"
1,280,"iap"
18,100,"iap"
4,40,"iap"
22,20,"iap"
1,0,"iap"
18,30,"iap"
35,35,"iap"
92,123,"iap"
1,270,"iap"
14,139,"iap"
4,14,"iap"
15,152,"iap"
5,21,"iap"
3,20,"iap"
1,95,"iap"
3,10,"iap"
3,10,"iap"
9,305,"iap"
72,20,"iap"
3,10,"iap"
4,60,"iap"
3,45,"iap"
16,250,"iap"
3,270,"iap"
2,45,"iap"
8,30,"iap"
32,105,"iap"
36,56,"iap"
4,0,"iap"
6,80,"iap"
5,35,"iap"
3,110,"iap"
19,100,"iap"
1,15,"iap"
22,148,"iap"
0,360,"iap"
1,0,"iap"
374,171,"iap"
25,150,"iap"
29,209,"iap"
5,307,"iap"
1,350,"iap"
0,0,"iap"
5,30,"iap"
4,60,"iap"
17,260,"iap"
7,40,"iap"
79,13,"iap"
4,10,"iap"
7,10,"iap"
1,60,"iap"
1,130,"iap"
2,125,"iap"
82,84,"iap"
2,394,"iap"
1,20,"iap"
1,30,"iap"
0,0,"iap"
4,15,"iap"
6,111,"iap"
7,160,"iap"
1,0,"iap"
5,10,"iap"
23,50,"iap"
5,0,"iap"
76,158,"iap"
4,180,"iap"
5,120,"iap"
9,23,"iap"
18,51,"iap"
26,50,"iap"
5,120,"iap"
17,450,"iap"
22,30,"iap"
7,50,"iap"
1,410,"iap"
19,70,"iap"
4,80,"iap"
10,87,"iap"
22,60,"iap"
4,398,"iap"
13,99,"iap"
4,20,"iap"
0,0,"iap"
6,20,"iap"
6,20,"iap"
68,41,"iap"
20,20,"iap"
2,260,"iap"
104,40,"iap"
157,66,"iap"
4,60,"iap"
4,40,"iap"
25,3,"iap"
26,1058,"iap"
22,45,"iap"
57,250,"iap"
5,120,"iap"
1,15,"iap"
31,130,"iap"
3,105,"iap"
1505,106,"iap"
18,730,"iap"
9,0,"iap"
3,170,"iap"
9,90,"iap"
119,47,"iap"
4,210,"iap"
31,56,"iap"
18,50,"iap"
110,18,"iap"
